"<ID>";"<ENT>N";"<OPT>V";"faire = procéder à";"Det =: un";"Det =: un-Modif";"Prép1 =: à";"Prép1 =: de";"Prép1 =: contre";"Prép1 =: sur";"N0 faire un N à N1";"N0 faire un N de N1";"N0 faire un N contre N1";"N0 faire un N sur N1";"N0 faire un N Modif à N1";"N0 faire un N Modif de N1";"N0 faire un N Modif contre N1";"N0 faire un N Modif sur N1";"N0 faire le N de N1";"N1 =: Nhum";"N1 =: N-hum";"subir = (être+faire) l'objet de";"Exemple Base1";"Exemple Base2"
"1182";"serfouissage";"serfouir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1183";"serrage";"serrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"1184";"sertissage";"sertir";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1185";"sevrage";"sevrer";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"1186";"similisage";"similiser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1187";"simplification";"simplifier";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"~";"~"
"1188";"smillage";"smiller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1189";"sondage";"sonder";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"1190";"soudage";"souder";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1191";"soufflage";"souffler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1192";"soufrage";"soufrer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1193";"soulignage";"souligner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1194";"soulignement";"souligner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1195";"soutirage";"soutirer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1196";"stabilisation";"stabiliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"1197";"sténosage";"sténoser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1198";"stérilisation";"stériliser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1199";"stockage";"stocker";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1200";"stoppage";"stopper";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1201";"striation";"strier";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1202";"stucage";"stuquer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1203";"subdivision";"subdiviser";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1204";"substitution";"substituer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1205";"sucrage";"sucrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1206";"sulfatage";"sulfater";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1207";"sulfitage";"sulfiter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1208";"sulfurage";"sulfurer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1209";"sulfuration";"sulfurer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1210";"supervision";"superviser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1211";"suppression";"supprimer";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1212";"surestimation";"surestimer";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"~";"~"
"1213";"surfilage";"surfiler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1214";"surgélation";"surgeler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"1215";"surmoulage";"surmouler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1216";"sursoufflage";"sursouffler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1217";"suspension";"suspendre";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"1218";"taillage";"tailler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1219";"tamisage";"tamiser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1220";"tamponnage";"tamponner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1221";"tanisage";"taniser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1222";"tannage";"tanner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1223";"tannisage";"tanniser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1224";"taquineries";"taquiner";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"~";"~"
"1225";"tarage";"tarer";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1226";"tararage";"tararer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1227";"taraudage";"tarauder";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1228";"tarification";"tarifier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1229";"tatouage";"tatouer";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"~";"~"
"1230";"teillage";"teiller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1231";"télédictage";"télédicter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1232";"téléguidage";"téléguider";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"1233";"terreautage";"terreauter";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1234";"test";"tester";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"~";"~"
"1235";"thermisation";"thermiser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1236";"tillage";"tiller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1237";"timbrage";"timbrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1238";"tissage";"tisser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1239";"titrage";"titrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1240";"toilettage";"toiletter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1241";"tondage";"tondre";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1242";"tordage";"tordre";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1243";"torpillage";"torpiller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"1244";"torréfaction";"torréfier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"1245";"torsion";"tordre";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"1246";"tournage";"tourner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1247";"traçage";"tracer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1248";"traînage";"traîner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1249";"traitement";"traiter";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"~";"~"
"1250";"transbordement";"transborder";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1251";"transcodage";"transcoder";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1252";"transcription";"transcrire";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1253";"transfert";"transférer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"1254";"transformation";"transformer";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1255";"transgression";"transgresser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"1256";"transposition";"transposer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1257";"travestissement";"travestir";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1258";"tréfilage";"tréfiler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1259";"trempage";"tremper";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1260";"trépanation";"trépaner";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"1261";"tressage";"tresser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1262";"tri";"trier";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"~";"~"
"1263";"triage";"trier";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1264";"tronçonnage";"tronçonner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1265";"truquage";"truquer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1266";"tubage";"tuber";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"~";"~"
"1267";"tuberculination";"tuberculiner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"~";"~"
"1268";"tuberculinisation";"tuberculiniser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"~";"~"
"1269";"turbinage";"turbiner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1270";"tuteurage";"tuteurer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1271";"tyndallisation";"tyndalliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1272";"uniformisation";"uniformiser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1273";"upérisation";"upériser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1274";"usinage";"usiner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1275";"vaccination";"vacciner";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"1276";"valorisation";"valoriser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"1277";"vannage";"vanner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1278";"vapocraquage";"vapocraquer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1279";"vaporisage";"vaporiser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"1280";"vaporisation";"vaporiser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1281";"ventage";"venter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1282";"vérification";"vérifier";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1283";"vernalisation";"vernaliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1284";"verrouillage";"verrouiller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1285";"vieillissement";"vieillir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"1286";"vinage";"viner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"1287";"virolage";"viroler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1288";"vissage";"visser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1289";"vitrage";"vitrer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1290";"vitrification";"vitrifier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1291";"vitriolage";"vitrioler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"~";"~"
"1292";"vulcanisation";"vulcaniser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"1293";"vulgarisation";"vulgariser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1294";"zingage";"zinguer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"1295";"zonage";"zoner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"

